C1	C2	A	B	C
pH9	Kno	Inc_22hrs/Nov_05B	Inc_21hrs/Nov_05B	Inc_anaer/Nov_12
pH9	T40	Inc_13hrs/Nov_11	-	-
pH9	Tob	Inc_28hrs/Nov_05	Inc_28hrs/Nov_05	Inc_27hrs/Nov_13
pH9c	BP	-	Inc_24hr2/Oct_16	-
pH9c	Bp	Inc_plate8/Oct_16	Inc_24hrs/Oct_16	Inc_29hrs/Oct_27
pH9c	Bs	Inc_plate8/Oct_16	Inc_29.5hrs/Oct_16	-
pH9c	Pq	Inc_29.5hrs/Oct_16	Inc_32hrs/Oct_16	Inc_30hrs/Oct_27
pH9c	Rt	Inc_24hrs/Sep_18	Inc_27hrs/Sep_18	Inc_32hrs/Sep_26
pH9c	T37	Inc_11hrs/Nov_11	Inc_12hrs/Nov_24	Inc_12hrs/Nov_11
pH9c	T40	-	Inc_12hrs/Nov_11	Inc_11hrs/Nov_11
pH9c	Uv	Inc_29.5hrs/Oct_16	Inc_32hrs/Oct_16	Inc_29hrs/Oct_27
